dataset,arm,control_idx,mean_tokens_removed
pbmc3k,no_ribo_mito,27,9.303639120545869
pbmc3k,no_ribo_mito,28,9.07846853677028
pbmc3k,no_ribo_mito,29,8.926838514025777
pbmc3k,no_ribo_mito,30,9.357846853677028
pbmc3k,no_ribo_mito,31,9.456406368460955
pbmc3k,no_ribo_mito,32,8.929112964366945
pbmc3k,no_ribo_mito,33,9.318802122820319
pbmc3k,no_ribo_mito,34,8.567096285064443
pbmc3k,no_ribo_mito,35,9.034116755117513
pbmc3k,no_ribo_mito,36,9.330553449583018
pbmc3k,no_ribo_mito,37,9.423805913570886
pbmc3k,no_ribo_mito,38,9.320697498104625
pbmc3k,no_ribo_mito,39,9.190295678544352
pbmc3k,no_ribo_mito,40,9.386656557998483
pbmc3k,no_ribo_mito,41,9.316906747536013
pbmc3k,no_ribo_mito,42,9.079226686884002
pbmc3k,no_ribo_mito,43,9.252463987869598
pbmc3k,no_ribo_mito,44,9.427217589082638
pbmc3k,no_ribo_mito,45,8.973843821076573
pbmc3k,no_ribo_mito,46,8.926080363912055
pbmc3k,no_ribo_mito,47,9.372251705837757
pbmc3k,no_ribo_mito,48,9.258150113722516
pbmc3k,no_ribo_mito,49,9.250568612585292
pbmc3k,no_ribo_mito,50,8.97270659590599
pbmc3k,no_ribo_mito,51,9.3855193328279
pbmc3k,no_ribo_mito,52,9.403335860500379
pbmc3k,no_ribo_mito,53,9.164897649734648
pbmc3k,no_ribo_mito,54,9.380970432145565
pbmc3k,no_ribo_mito,55,9.109173616376042
pbmc3k,no_ribo_mito,56,9.162244124336619
pbmc3k,no_ribo_mito,57,8.855572403335861
pbmc3k,no_ribo_mito,58,9.31652767247915
pbmc3k,no_ribo_mito,59,9.400303260045488
pbmc3k,no_ribo_mito,60,9.374905231235784
pbmc3k,no_ribo_mito,61,9.419636087945413
pbmc3k,no_ribo_mito,62,9.06027293404094
pbmc3k,no_ribo_mito,63,8.973464746019712
pbmc3k,no_ribo_mito,64,8.809704321455648
pbmc3k,no_ribo_mito,65,9.39423805913571
pbmc3k,no_ribo_mito,66,9.184988627748295
pbmc3k,no_ribo_mito,67,9.329795299469295
pbmc3k,no_ribo_mito,68,9.050037907505686
pbmc3k,no_ribo_mito,69,9.131539044730857
pbmc3k,no_ribo_mito,70,9.47308567096285
pbmc3k,no_ribo_mito,71,9.341925701288854
pbmc3k,no_ribo_mito,72,8.71683093252464
pbmc3k,no_ribo_mito,73,9.094389689158453
pbmc3k,no_ribo_mito,74,9.152388172858226
pbmc3k,no_ribo_mito,75,9.094389689158453
pbmc3k,no_ribo_mito,76,9.383244882486732
pbmc3k,no_ribo_mito,77,9.291508718726307
pbmc3k,no_ribo_mito,78,9.258529188779379
pbmc3k,no_ribo_mito,79,9.264973464746019
pbmc3k,no_ribo_mito,80,9.220242608036392
pbmc3k,no_ribo_mito,81,9.341925701288854
pbmc3k,no_ribo_mito,82,9.347611827141774
pbmc3k,no_ribo_mito,83,8.676648976497347
pbmc3k,no_ribo_mito,84,8.946929492039423
pbmc3k,no_ribo_mito,85,9.07543593631539
pbmc3k,no_ribo_mito,86,8.964746019711903
pbmc3k,no_ribo_mito,87,9.462471569370736
pbmc3k,no_ribo_mito,88,9.522365428354814
pbmc3k,no_ribo_mito,89,8.924184988627749
pbmc3k,no_ribo_mito,90,9.210386656557999
pbmc3k,no_ribo_mito,91,9.488248673237301
pbmc3k,no_ribo_mito,92,9.09059893858984
pbmc3k,no_ribo_mito,93,9.251326762699014
pbmc3k,no_ribo_mito,94,9.257771038665656
pbmc3k,no_ribo_mito,95,8.945413191811978
pbmc3k,no_ribo_mito,96,9.297573919636088
pbmc3k,no_ribo_mito,97,9.538665655799848
pbmc3k,no_ribo_mito,98,9.022365428354814
pbmc3k,no_ribo_mito,99,9.40712661106899
pbmc3k,no_ribo_mito,100,9.330174374526155
pbmc3k,no_ribo_mito,101,9.099317664897649
pbmc3k,no_ribo_mito,102,9.017058377558756
pbmc3k,no_ribo_mito,103,9.263836239575436
pbmc3k,no_ribo_mito,104,9.253601213040183
pbmc3k,no_ribo_mito,105,9.221758908263837
pbmc3k,no_ribo_mito,106,8.971190295678545
pbmc3k,no_ribo_mito,107,9.267247915087188
pbmc3k,no_ribo_mito,108,9.228203184230477
pbmc3k,no_ribo_mito,109,9.234647460197118
pbmc3k,no_ribo_mito,110,9.255117513267628
pbmc3k,no_ribo_mito,111,8.681197877179681
pbmc3k,no_ribo_mito,112,9.229340409401061
pbmc3k,no_ribo_mito,113,9.134950720242609
pbmc3k,no_ribo_mito,114,8.764594389689158
pbmc3k,no_ribo_mito,115,9.285064442759666
pbmc3k,no_ribo_mito,116,9.006823351023503
pbmc3k,no_ribo_mito,117,9.155041698256255
pbmc3k,no_ribo_mito,118,8.830174374526155
pbmc3k,no_ribo_mito,119,9.381349507202426
pbmc3k,no_ribo_mito,120,9.321455648218347
pbmc3k,no_ribo_mito,121,9.099696739954512
pbmc3k,no_ribo_mito,122,9.36429112964367
pbmc3k,no_ribo_mito,123,8.9696739954511
pbmc3k,no_ribo_mito,124,8.766110689916603
pbmc3k,no_ribo_mito,125,9.175890826383624
pbmc3k,no_ribo_mito,126,9.229340409401061
pbmc3k,no_ribo_mito,127,9.465125094768764
