gene,token_id,norm,dist_from_centroid,cos_to_centroid,norm_zscore,dist_zscore,cos_zscore,is_outlier,pca_1,pca_2,isolation_score,isolation_zscore,anomaly_score
FCN1,5599,27.690334,27.688747,0.010870454,-0.0029955336,-0.0036723583,0.05293511,False,0.49774873,-0.17059009,0.87091506,-0.4696745,0.4696745
FCN2,5600,27.48213,27.483046,0.0008717005,-0.3068891,-0.30393985,-0.23035495,False,-0.24956311,0.25619745,0.874481,0.40354145,0.40354145
FCN3,5601,27.922379,27.91805,0.021803053,0.33569464,0.33104682,0.3626834,False,1.8945084,-1.2394601,0.8703391,-0.6107126,0.6107126
FCRL1,5602,28.1834,28.167414,0.06847015,0.7166786,0.6950474,1.6848806,False,0.84488,-1.8392569,0.87556267,0.66840935,1.6848806
FCRL2,5603,28.182295,28.175215,0.032789662,0.71506673,0.7064348,0.6739619,False,0.849366,0.6243984,0.8740886,0.30744347,0.71506673
FCRL3,5604,27.025133,27.027164,-0.003522584,-0.97391874,-0.9693996,-0.35485616,False,-1.3988853,-1.621005,0.86902523,-0.9324452,0.97391874
FCRL4,5605,27.331486,27.325745,0.027572509,-0.5267685,-0.5335555,0.52614665,False,1.9675258,-0.6758033,0.86926395,-0.8739895,0.8739895
FCRL5,5606,27.217873,27.192673,0.10552612,-0.69259745,-0.72780347,2.7347703,False,-1.4018488,0.03204211,0.8722881,-0.13344833,2.7347703
FCRL6,5607,27.468874,27.482117,-0.048539113,-0.32623756,-0.30529577,-1.6302886,False,1.8439821,2.8512414,0.87913054,1.5420923,1.6302886
FCRLA,5608,27.52357,27.520456,0.017012512,-0.24640492,-0.24933058,0.2269552,False,0.65669775,-0.5816757,0.86985767,-0.72860193,0.72860193
FCRLB,5609,26.711748,26.705946,0.027919404,-1.4313333,-1.4382893,0.5359751,False,1.2499063,-0.33588803,0.8723842,-0.10992009,1.4382893
FCSK,5610,27.584175,27.587996,-0.010789186,-0.1579448,-0.1507421,-0.56073743,False,-0.08902025,-0.017894464,0.8740128,0.28889236,0.56073743
FDCSP,5611,26.968758,26.954708,0.06091375,-1.056204,-1.0751657,1.4707886,False,1.3185214,-1.8937486,0.87443435,0.39211303,1.4707886
FDFT1,5612,27.632795,27.633743,0.0007249215,-0.086979054,-0.08396308,-0.23451355,False,-1.7346925,2.370666,0.8650383,-1.9087505,1.9087505
